,Metric,Current_Comuna,Region,Codigo_region,Comuna,Codigo_comuna,Poblacion,Casos_incrementales,Casos_nuevos,Superficie_km2,IM_interno,IM_externo,IM,Fallecidos_totales,Fallecidos_nuevos,Positividad,Dosis_unica,Primera_dosis,Segunda_dosis,Tercera_dosis,Cuarta_dosis
507,missing_samples,Calera de Tango,0,0,0,0,0,649,649,0,515,515,515,673,673,796,303,303,303,303,303
508,min_date,Calera de Tango,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-06-12 00:00:00,2020-06-12 00:00:00,2020-08-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00
509,max_date,Calera de Tango,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2021-03-28 00:00:00,2021-03-28 00:00:00,2021-03-28 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-09 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00
510,n_unique_vals,Cerrillos,1,1,1,1,,,,,,,,,,,,,,,
511,total_samples,Cerrillos,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899
512,non-nan_samples,Cerrillos,899,899,899,899,899,250,250,899,384,384,384,226,226,103,596,596,596,596,596
513,missing_samples,Cerrillos,0,0,0,0,0,649,649,0,515,515,515,673,673,796,303,303,303,303,303
514,min_date,Cerrillos,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-06-12 00:00:00,2020-06-12 00:00:00,2020-08-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00
515,max_date,Cerrillos,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2021-03-28 00:00:00,2021-03-28 00:00:00,2021-03-28 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-09 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00
516,n_unique_vals,Cerro Navia,1,1,1,1,,,,,,,,,,,,,,,
