,Metric,Current_Comuna,Region,Codigo_region,Comuna,Codigo_comuna,Poblacion,Casos_incrementales,Casos_nuevos,Superficie_km2,IM_interno,IM_externo,IM,Fallecidos_totales,Fallecidos_nuevos,Positividad,Dosis_unica,Primera_dosis,Segunda_dosis,Tercera_dosis,Cuarta_dosis
0,n_unique_vals,Arica,1,1,1,1,,,,,,,,,,,,,,,
1,total_samples,Arica,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899
2,non-nan_samples,Arica,899,899,899,899,899,250,250,899,384,384,384,226,226,103,596,596,596,596,596
3,missing_samples,Arica,0,0,0,0,0,649,649,0,515,515,515,673,673,796,303,303,303,303,303
4,min_date,Arica,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-06-12 00:00:00,2020-06-12 00:00:00,2020-08-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00
5,max_date,Arica,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2021-03-28 00:00:00,2021-03-28 00:00:00,2021-03-28 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-09 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00
6,n_unique_vals,Camarones,1,1,1,1,,,,,,,,,,,,,,,
7,total_samples,Camarones,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899
8,non-nan_samples,Camarones,899,899,899,899,899,250,250,899,384,384,384,226,226,103,596,596,596,596,596
9,missing_samples,Camarones,0,0,0,0,0,649,649,0,515,515,515,673,673,796,303,303,303,303,303
10,min_date,Camarones,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-06-12 00:00:00,2020-06-12 00:00:00,2020-08-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00
11,max_date,Camarones,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2021-03-28 00:00:00,2021-03-28 00:00:00,2021-03-28 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-09 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00
12,n_unique_vals,General Lagos,1,1,1,1,,,,,,,,,,,,,,,
13,total_samples,General Lagos,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899
14,non-nan_samples,General Lagos,899,899,899,899,899,250,250,899,384,384,384,226,226,103,596,596,596,596,596
15,missing_samples,General Lagos,0,0,0,0,0,649,649,0,515,515,515,673,673,796,303,303,303,303,303
16,min_date,General Lagos,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-06-12 00:00:00,2020-06-12 00:00:00,2020-08-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00
17,max_date,General Lagos,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2021-03-28 00:00:00,2021-03-28 00:00:00,2021-03-28 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-09 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00
18,n_unique_vals,Putre,1,1,1,1,,,,,,,,,,,,,,,
19,total_samples,Putre,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899
20,non-nan_samples,Putre,899,899,899,899,899,250,250,899,384,384,384,226,226,101,596,596,596,596,596
21,missing_samples,Putre,0,0,0,0,0,649,649,0,515,515,515,673,673,798,303,303,303,303,303
22,min_date,Putre,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-06-12 00:00:00,2020-06-12 00:00:00,2020-08-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00
23,max_date,Putre,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2021-03-28 00:00:00,2021-03-28 00:00:00,2021-03-28 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-09 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00
24,n_unique_vals,Alto Hospicio,1,1,1,1,,,,,,,,,,,,,,,
25,total_samples,Alto Hospicio,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899
26,non-nan_samples,Alto Hospicio,899,899,899,899,899,250,250,899,384,384,384,226,226,103,596,596,596,596,596
27,missing_samples,Alto Hospicio,0,0,0,0,0,649,649,0,515,515,515,673,673,796,303,303,303,303,303
28,min_date,Alto Hospicio,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-06-12 00:00:00,2020-06-12 00:00:00,2020-08-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00
29,max_date,Alto Hospicio,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2021-03-28 00:00:00,2021-03-28 00:00:00,2021-03-28 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-09 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00
30,n_unique_vals,Camina,1,1,1,1,,,,,,,,,,,,,,,
31,total_samples,Camina,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899
32,non-nan_samples,Camina,899,899,899,899,899,250,250,899,384,384,384,226,226,102,596,596,596,596,596
33,missing_samples,Camina,0,0,0,0,0,649,649,0,515,515,515,673,673,797,303,303,303,303,303
34,min_date,Camina,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-06-12 00:00:00,2020-06-12 00:00:00,2020-08-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00
35,max_date,Camina,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2021-03-28 00:00:00,2021-03-28 00:00:00,2021-03-28 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-09 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00
36,n_unique_vals,Colchane,1,1,1,1,,,,,,,,,,,,,,,
37,total_samples,Colchane,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899
38,non-nan_samples,Colchane,899,899,899,899,899,250,250,899,384,384,384,226,226,103,596,596,596,596,596
39,missing_samples,Colchane,0,0,0,0,0,649,649,0,515,515,515,673,673,796,303,303,303,303,303
40,min_date,Colchane,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-06-12 00:00:00,2020-06-12 00:00:00,2020-08-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00
41,max_date,Colchane,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2021-03-28 00:00:00,2021-03-28 00:00:00,2021-03-28 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-09 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00
42,n_unique_vals,Huara,1,1,1,1,,,,,,,,,,,,,,,
43,total_samples,Huara,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899
44,non-nan_samples,Huara,899,899,899,899,899,250,250,899,384,384,384,226,226,103,596,596,596,596,596
45,missing_samples,Huara,0,0,0,0,0,649,649,0,515,515,515,673,673,796,303,303,303,303,303
46,min_date,Huara,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-06-12 00:00:00,2020-06-12 00:00:00,2020-08-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00
47,max_date,Huara,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2021-03-28 00:00:00,2021-03-28 00:00:00,2021-03-28 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-09 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00
48,n_unique_vals,Iquique,1,1,1,1,,,,,,,,,,,,,,,
49,total_samples,Iquique,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899
50,non-nan_samples,Iquique,899,899,899,899,899,250,250,899,384,384,384,226,226,103,596,596,596,596,596
51,missing_samples,Iquique,0,0,0,0,0,649,649,0,515,515,515,673,673,796,303,303,303,303,303
52,min_date,Iquique,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-06-12 00:00:00,2020-06-12 00:00:00,2020-08-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00
53,max_date,Iquique,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2021-03-28 00:00:00,2021-03-28 00:00:00,2021-03-28 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-09 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00
54,n_unique_vals,Pica,1,1,1,1,,,,,,,,,,,,,,,
55,total_samples,Pica,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899
56,non-nan_samples,Pica,899,899,899,899,899,250,250,899,384,384,384,226,226,103,596,596,596,596,596
57,missing_samples,Pica,0,0,0,0,0,649,649,0,515,515,515,673,673,796,303,303,303,303,303
58,min_date,Pica,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-06-12 00:00:00,2020-06-12 00:00:00,2020-08-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00
59,max_date,Pica,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2021-03-28 00:00:00,2021-03-28 00:00:00,2021-03-28 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-09 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00
60,n_unique_vals,Pozo Almonte,1,1,1,1,,,,,,,,,,,,,,,
61,total_samples,Pozo Almonte,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899
62,non-nan_samples,Pozo Almonte,899,899,899,899,899,250,250,899,384,384,384,226,226,103,596,596,596,596,596
63,missing_samples,Pozo Almonte,0,0,0,0,0,649,649,0,515,515,515,673,673,796,303,303,303,303,303
64,min_date,Pozo Almonte,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-06-12 00:00:00,2020-06-12 00:00:00,2020-08-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00
65,max_date,Pozo Almonte,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2021-03-28 00:00:00,2021-03-28 00:00:00,2021-03-28 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-09 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00
66,n_unique_vals,Antofagasta,1,1,1,1,,,,,,,,,,,,,,,
67,total_samples,Antofagasta,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899
68,non-nan_samples,Antofagasta,899,899,899,899,899,250,250,899,384,384,384,226,226,103,596,596,596,596,596
69,missing_samples,Antofagasta,0,0,0,0,0,649,649,0,515,515,515,673,673,796,303,303,303,303,303
70,min_date,Antofagasta,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-06-12 00:00:00,2020-06-12 00:00:00,2020-08-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00
71,max_date,Antofagasta,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2021-03-28 00:00:00,2021-03-28 00:00:00,2021-03-28 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-09 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00
72,n_unique_vals,Calama,1,1,1,1,,,,,,,,,,,,,,,
73,total_samples,Calama,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899
74,non-nan_samples,Calama,899,899,899,899,899,250,250,899,384,384,384,226,226,103,596,596,596,596,596
75,missing_samples,Calama,0,0,0,0,0,649,649,0,515,515,515,673,673,796,303,303,303,303,303
76,min_date,Calama,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-06-12 00:00:00,2020-06-12 00:00:00,2020-08-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00
77,max_date,Calama,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2021-03-28 00:00:00,2021-03-28 00:00:00,2021-03-28 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-09 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00
78,n_unique_vals,Maria Elena,1,1,1,1,,,,,,,,,,,,,,,
79,total_samples,Maria Elena,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899
80,non-nan_samples,Maria Elena,899,899,899,899,899,250,250,899,384,384,384,226,226,102,596,596,596,596,596
81,missing_samples,Maria Elena,0,0,0,0,0,649,649,0,515,515,515,673,673,797,303,303,303,303,303
82,min_date,Maria Elena,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-06-12 00:00:00,2020-06-12 00:00:00,2020-08-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00
83,max_date,Maria Elena,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2021-03-28 00:00:00,2021-03-28 00:00:00,2021-03-28 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-09 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00
84,n_unique_vals,Mejillones,1,1,1,1,,,,,,,,,,,,,,,
85,total_samples,Mejillones,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899
86,non-nan_samples,Mejillones,899,899,899,899,899,250,250,899,384,384,384,226,226,103,596,596,596,596,596
87,missing_samples,Mejillones,0,0,0,0,0,649,649,0,515,515,515,673,673,796,303,303,303,303,303
88,min_date,Mejillones,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-06-12 00:00:00,2020-06-12 00:00:00,2020-08-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00
89,max_date,Mejillones,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2021-03-28 00:00:00,2021-03-28 00:00:00,2021-03-28 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-09 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00
90,n_unique_vals,Ollague,1,1,1,1,,,,,,,,,,,,,,,
91,total_samples,Ollague,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899
92,non-nan_samples,Ollague,899,899,899,899,899,250,250,899,384,384,384,226,226,98,596,596,596,596,596
93,missing_samples,Ollague,0,0,0,0,0,649,649,0,515,515,515,673,673,801,303,303,303,303,303
94,min_date,Ollague,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-06-12 00:00:00,2020-06-12 00:00:00,2020-08-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00
95,max_date,Ollague,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2021-03-28 00:00:00,2021-03-28 00:00:00,2021-03-28 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-09 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00
96,n_unique_vals,San Pedro de Atacama,1,1,1,1,,,,,,,,,,,,,,,
97,total_samples,San Pedro de Atacama,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899
98,non-nan_samples,San Pedro de Atacama,899,899,899,899,899,250,250,899,384,384,384,226,226,103,596,596,596,596,596
99,missing_samples,San Pedro de Atacama,0,0,0,0,0,649,649,0,515,515,515,673,673,796,303,303,303,303,303
100,min_date,San Pedro de Atacama,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-06-12 00:00:00,2020-06-12 00:00:00,2020-08-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00
101,max_date,San Pedro de Atacama,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2021-03-28 00:00:00,2021-03-28 00:00:00,2021-03-28 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-09 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00
102,n_unique_vals,Sierra Gorda,1,1,1,1,,,,,,,,,,,,,,,
103,total_samples,Sierra Gorda,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899
104,non-nan_samples,Sierra Gorda,899,899,899,899,899,250,250,899,384,384,384,226,226,103,596,596,596,596,596
105,missing_samples,Sierra Gorda,0,0,0,0,0,649,649,0,515,515,515,673,673,796,303,303,303,303,303
106,min_date,Sierra Gorda,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-06-12 00:00:00,2020-06-12 00:00:00,2020-08-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00
107,max_date,Sierra Gorda,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2021-03-28 00:00:00,2021-03-28 00:00:00,2021-03-28 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-09 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00
108,n_unique_vals,Taltal,1,1,1,1,,,,,,,,,,,,,,,
109,total_samples,Taltal,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899
110,non-nan_samples,Taltal,899,899,899,899,899,250,250,899,384,384,384,226,226,103,596,596,596,596,596
111,missing_samples,Taltal,0,0,0,0,0,649,649,0,515,515,515,673,673,796,303,303,303,303,303
112,min_date,Taltal,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-06-12 00:00:00,2020-06-12 00:00:00,2020-08-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00
113,max_date,Taltal,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2021-03-28 00:00:00,2021-03-28 00:00:00,2021-03-28 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-09 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00
114,n_unique_vals,Tocopilla,1,1,1,1,,,,,,,,,,,,,,,
115,total_samples,Tocopilla,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899
116,non-nan_samples,Tocopilla,899,899,899,899,899,250,250,899,384,384,384,226,226,103,596,596,596,596,596
117,missing_samples,Tocopilla,0,0,0,0,0,649,649,0,515,515,515,673,673,796,303,303,303,303,303
