REGIÓN,COMUNA,BIENESTAR,ECONOMÍA,EDUCACIÓN,IDC,RANKING,RANGOS
O'HIGGINS,PALMILLA,0.8252,0.0716,0.6113,0.3306,216,Medio bajo
LOS LAGOS,PUYEHUE,0.7040,0.0816,0.6160,0.3283,217,Medio bajo
MAULE,RETIRO,0.6769,0.0821,0.6368,0.3283,218,Medio bajo
ATACAMA,TIERRA AMARILLA,0.7098,0.0920,0.5360,0.3271,219,Medio bajo
TARAPACÁ,PICA,0.7870,0.0774,0.5719,0.3266,220,Medio bajo
O'HIGGINS,MARCHIHUE,0.8381,0.0684,0.6058,0.3262,221,Medio bajo
VALPARAÍSO,PUTAENDO,0.8518,0.0656,0.6171,0.3255,222,Medio bajo
VALPARAÍSO,CATEMU,0.8191,0.0682,0.6138,0.3249,223,Medio bajo
LOS LAGOS,CALBUCO,0.6232,0.0830,0.6603,0.3244,224,Medio bajo
O'HIGGINS,PICHIDEGUA,0.8348,0.0713,0.5692,0.3235,225,Medio bajo
MAULE,VILLA ALEGRE,0.7762,0.0775,0.5600,0.3229,226,Medio bajo
MAULE,LONGAVÍ,0.6721,0.0784,0.6387,0.3228,227,Medio bajo
ARAUCANÍA,CURACAUTÍN,0.7943,0.0733,0.5750,0.3222,228,Medio bajo
MAULE,LICANTÉN,0.7002,0.0728,0.6458,0.3205,229,Medio bajo
ARAUCANÍA,LONCOCHE,0.6645,0.0709,0.6871,0.3187,230,Medio bajo
O'HIGGINS,MALLOA,0.8123,0.0629,0.6228,0.3169,231,Medio bajo
LOS RÍOS,LOS LAGOS,0.6021,0.0874,0.6045,0.3168,232,Medio bajo
MAULE,PELARCO,0.7265,0.0741,0.5888,0.3164,233,Medio bajo
ARAUCANÍA,PADRE LAS CASAS,0.6557,0.0777,0.6142,0.3152,234,Medio bajo
O'HIGGINS,CHÉPICA,0.8401,0.0608,0.6013,0.3132,235,Medio bajo
MAULE,SAGRADA FAMILIA,0.7805,0.0659,0.5953,0.3129,236,Medio bajo
ANTOFAGASTA,SIERRA GORDA,0.8664,0.0665,0.5271,0.3119,237,Medio bajo
BIOBÍO,YUMBEL,0.6763,0.0689,0.6493,0.3116,238,Medio bajo
O'HIGGINS,COLTAUCO,0.7930,0.0595,0.6388,0.3113,239,Medio bajo
ARAUCANÍA,NUEVA IMPERIAL,0.6756,0.0674,0.6605,0.3110,240,Medio bajo
ARAUCANÍA,RENAICO,0.7853,0.0667,0.5733,0.3108,241,Medio bajo
COQUIMBO,PAIGUANO,0.8018,0.0647,0.5776,0.3107,242,Medio bajo
AYSÉN,LAGO VERDE,0.7478,0.0787,0.5092,0.3106,243,Medio bajo
LOS RÍOS,FUTRONO,0.6722,0.0678,0.6551,0.3102,244,Medio bajo
VALPARAÍSO,ISLA DE PASCUA,0.7153,0.0655,0.6338,0.3097,245,Medio bajo
VALPARAÍSO,PETORCA,0.8473,0.0549,0.6272,0.3078,246,Medio bajo
RM,MARÍA PINTO,0.8408,0.0597,0.5803,0.3076,247,Medio bajo
O'HIGGINS,COINCO,0.7837,0.0654,0.5631,0.3068,248,Medio bajo
LOS LAGOS,SAN PABLO,0.5825,0.0777,0.6352,0.3064,249,Medio bajo
MAULE,RAUCO,0.7679,0.0628,0.5957,0.3062,250,Medio bajo
MAULE,HUALAÑÉ,0.7028,0.0625,0.6512,0.3058,251,Medio bajo
O'HIGGINS,PLACILLA,0.7703,0.0638,0.5764,0.3048,252,Medio bajo
LOS LAGOS,QUEILÉN,0.4764,0.0973,0.5961,0.3023,253,Medio bajo
COQUIMBO,ANDACOLLO,0.7962,0.0531,0.6483,0.3016,254,Medio bajo
MAULE,YERBAS BUENAS,0.7257,0.0605,0.6115,0.2995,255,Medio bajo
BIOBÍO-ÑUBLE,QUILLÓN,0.6286,0.0648,0.6594,0.2995,256,Medio bajo
O'HIGGINS,LA ESTRELLA,0.7273,0.0705,0.5160,0.2979,257,Medio bajo
O'HIGGINS,LITUECHE,0.7665,0.0561,0.6135,0.2977,258,Medio bajo
MAULE,VICHUQUÉN,0.6540,0.0628,0.6416,0.2976,259,Medio bajo
MAULE,SAN RAFAEL,0.7911,0.0601,0.5513,0.2970,260,Medio bajo
BIOBÍO-ÑUBLE,COIHUECO,0.6906,0.0578,0.6514,0.2963,261,Medio bajo
