,Codigo_comuna,Latitud,Longitud
310,13117,-33.4333333,-70.7166667
311,13118,-33.5,-70.5666667
312,13119,-33.5166667,-70.7666667
313,13120,-33.4666667,-70.6
314,13121,-33.492455,-70.678086
315,13122,-33.4833333,-70.5333333
316,13123,-33.4333333,-70.6166667
317,13124,-33.4333333,-70.7166667
318,13125,-33.3666667,-70.75
319,13126,-33.45,-70.7
320,13127,-70.639192,-33.408148
321,13128,-33.4,-70.7333333
322,13129,-33.5,-70.6166667
323,13130,-33.5,-70.6666667
324,13131,-33.45,-70.5
325,13132,-33.4,-70.6
326,13201,-33.6166667,-70.5833333
327,13202,-33.6333333,-70.55
328,13203,-33.6333333,-70.3666667
329,13301,-33.2,-70.6833333
330,13302,-33.2833333,-70.9
331,13303,-33.0817,-70.9278
332,13401,-33.6,-70.7166667
333,13402,-33.7333333,-70.75
334,13403,-33.65,-70.8166667
335,13404,-33.8166667,-70.75
336,13501,-33.7,-71.2166667
337,13502,-34.0278,-71.1164
338,13503,-33.4,-71.15
339,13504,-33.5333333,-71.1333333
340,13505,-33.9,-71.4666667
341,13601,-33.6666667,-70.9333333
342,13602,-33.6833333,-71.0166667
343,13603,-33.75,-70.9
344,13604,-33.5666667,-70.8333333
345,13605,-33.6166667,-70.9166667
